,mes,ano,ano_mes,estoque,exportacao,processamento,compra_liquida,saldo,producao,chicago_cbot_u$/t,fob_porto_paranagua_u$/t,maringa_r$/saca,mogiana_r$/saca,passofundo_r$/saca,rondonopolis_r$/saca
336,Jan,2015,2015-01-01,2077.7433,85.0,2518.202715,3111.369124,2585.909709,96994.0,369.2183531,390.5304531,59.45,60.3,63.26,54.66
337,Fev,2015,2015-02-01,6403.376419,869.0,2893.975554,7219.608673,9860.009537999998,96994.0,362.7879781,381.7116531,60.8125,60.25,63.25,55.8125
338,Mar,2015,2015-03-01,14139.21975,5592.0,3566.909248,11302.75258,16283.063082,96994.0,361.1114875,375.9932125,65.3125,64.75,67.2375,61.1375
339,Abr,2015,2015-04-01,17229.98348,6551.0,3760.63487,6851.398606,13769.747215999998,96994.0,359.005999,377.966419,62.6875,63.125,64.625,60.125
340,Mai,2015,2015-05-01,16138.18841,9341.0,3986.90962,2895.114543,5705.393333000002,96994.0,351.4429594,374.5923094,62.0,62.375,64.5,58.5625
341,Jun,2015,2015-06-01,13994.83189,9810.0,3753.165332,1609.808814,2041.4753719999994,96994.0,350.5473,370.573325,63.5625,63.25,66.125,58.25
342,Jul,2015,2015-07-01,11551.97805,8440.0,3809.688831,1366.834997,669.1242159999997,96994.0,372.3187125,394.9536325,68.875,67.375,72.375,62.25
343,Ago,2015,2015-08-01,9149.565542,5162.0,3580.914419,1178.501906,1585.1530289999996,96994.0,336.4280338,374.4591088,72.875,71.25,75.875,66.4625
344,Set,2015,2015-09-01,7415.710242,3705.0,3477.891178,1744.035878,1976.854942,96994.0,322.5659825,371.2163625,78.1875,79.375,79.875,72.125
345,Out,2015,2015-10-01,5927.02201,2594.0,3398.013993,1909.325761,1844.3337779999997,96994.0,330.33755,372.22685,79.6,75.75,83.2,75.5
346,Nov,2015,2015-11-01,3968.756773,1443.0,3087.433736,1129.168499,567.4915360000005,96994.0,319.4748094,353.6476594,78.875,77.0,80.75,70.8125
347,Dez,2015,2015-12-01,1530.960312,731.0,2722.733931,284.9374698,-1637.8361492000004,96994.0,322.6027275,333.2587775,78.58333333,76.5,81.75,71.0
348,Jan,2016,2016-01-01,1946.173424,394.0,2300.248696,2715.461808,1967.3865360000004,96199.0,321.6795094,333.5297719,77.83333333,74.16666667,83.16666667,72.66666667
349,Fev,2016,2016-02-01,9536.568624,2037.0,3293.379698,10883.7749,15089.963826,96199.0,320.5082625,331.8992125,73.25,73.875,78.25,70.125
350,Mar,2016,2016-03-01,15912.34933,8375.0,3844.207773,10219.98848,13913.130036999997,96199.0,327.4530675,340.9017375,68.875,68.875,72.125,64.25
351,Abr,2016,2016-04-01,16346.4007,10086.0,4094.176504,4528.227868,6694.452064,96199.0,357.5747813,378.7950188,73.6,70.16,74.45,67.55
352,Mai,2016,2016-05-01,15106.2339,9915.0,3965.846565,2725.679764,3951.067099,96199.0,392.1839781,418.5485156,84.125,79.375,82.125,81.875
353,Jun,2016,2016-06-01,12946.78516,7761.0,3646.005351,1486.556616,3026.3364249999995,96199.0,420.032095,468.388515,93.75,91.0,90.625,89.875
354,Jul,2016,2016-07-01,9746.135325,5787.0,3502.950263,302.3004259,758.4854879,96199.0,391.4950094,450.0114219,84.0,82.1,82.35,81.7
355,Ago,2016,2016-08-01,7608.69324,3816.0,3016.152194,878.7101093,1655.251155299999,96199.0,367.3581375,424.6803375,78.66666667,75.83333333,76.91666667,76.16666667
356,Set,2016,2016-09-01,6190.719419,1443.0,2876.534585,1458.560765,3329.7455990000003,96199.0,352.5453094,412.2559344,77.15,78.4,77.25,77.36
