,datetime,symbol,open,high,low,close,ano,mes
450,1999-08-15,USDBRL,1.87,1.97,1.85,1.94,1999,8
451,1999-08-22,USDBRL,1.9,1.94,1.8,1.93,1999,8
452,1999-08-29,USDBRL,1.89,1.94,1.89,1.9,1999,8
453,1999-09-05,USDBRL,1.94,1.94,1.86,1.87,1999,9
454,1999-09-12,USDBRL,1.85,1.89,1.75,1.75,1999,9
455,1999-09-19,USDBRL,1.86,1.91,1.86,1.91,1999,9
456,1999-09-26,USDBRL,1.88,1.95,1.88,1.95,1999,9
457,1999-10-03,USDBRL,1.93,1.96,1.93,1.94,1999,10
458,1999-10-10,USDBRL,1.95,1.98,1.94,1.97,1999,10
459,1999-10-17,USDBRL,1.98,2.0,1.95,1.97,1999,10
460,1999-10-24,USDBRL,2.0,2.0,1.94,1.94,1999,10
461,1999-10-31,USDBRL,2.0,2.0,1.91,1.92,1999,10
462,1999-11-07,USDBRL,2.0,2.0,1.8,1.93,1999,11
463,1999-11-14,USDBRL,1.91,1.94,1.91,1.93,1999,11
464,1999-11-21,USDBRL,1.91,1.94,1.91,1.92,1999,11
465,1999-11-28,USDBRL,1.92,1.92,1.87,1.87,1999,11
466,1999-12-05,USDBRL,1.87,1.87,1.85,1.86,1999,12
467,1999-12-12,USDBRL,1.86,1.86,1.81,1.81,1999,12
468,1999-12-19,USDBRL,1.86,1.87,1.68,1.87,1999,12
469,1999-12-26,USDBRL,1.86,1.86,1.79,1.8,1999,12
470,2000-01-02,USDBRL,1.86,1.86,1.7,1.82,2000,1
471,2000-01-09,USDBRL,1.86,1.86,1.8,1.8,2000,1
472,2000-01-16,USDBRL,1.87,1.87,1.66,1.66,2000,1
473,2000-01-23,USDBRL,1.86,1.86,1.63,1.79,2000,1
474,2000-01-30,USDBRL,1.79,1.86,1.76,1.76,2000,1
475,2000-02-06,USDBRL,1.76,1.77,1.63,1.76,2000,2
476,2000-02-13,USDBRL,1.76,1.78,1.64,1.77,2000,2
477,2000-02-20,USDBRL,1.7775,1.79,1.65,1.65,2000,2
478,2000-02-27,USDBRL,1.74,1.77,1.72,1.74,2000,2
479,2000-03-05,USDBRL,1.76,1.76,1.6,1.74,2000,3
480,2000-03-12,USDBRL,1.72,1.75,1.61,1.73,2000,3
481,2000-03-19,USDBRL,1.7,1.74,1.6,1.72,2000,3
482,2000-03-26,USDBRL,1.7,1.75,1.7,1.73,2000,3
483,2000-04-02,USDBRL,1.75,1.75,1.61,1.74,2000,4
484,2000-04-09,USDBRL,1.71,1.787,1.71,1.771,2000,4
485,2000-04-16,USDBRL,1.749,1.786,1.648,1.78,2000,4
486,2000-04-23,USDBRL,1.784,1.811,1.663,1.807,2000,4
487,2000-04-30,USDBRL,1.767,1.817,1.676,1.816,2000,4
488,2000-05-07,USDBRL,1.811,1.877,1.769,1.836,2000,5
489,2000-05-14,USDBRL,1.799,1.845,1.78,1.839,2000,5
490,2000-05-21,USDBRL,1.839,1.855,1.713,1.843,2000,5
491,2000-05-28,USDBRL,1.84,1.84,1.782,1.8,2000,5
492,2000-06-04,USDBRL,1.8,1.806,1.765,1.801,2000,6
493,2000-06-11,USDBRL,1.764,1.811,1.764,1.801,2000,6
494,2000-06-18,USDBRL,1.803,1.822,1.765,1.822,2000,6
495,2000-06-25,USDBRL,1.788,1.827,1.784,1.801,2000,6
496,2000-07-02,USDBRL,1.788,1.808,1.78,1.8,2000,7
497,2000-07-09,USDBRL,1.802,1.813,1.783,1.803,2000,7
498,2000-07-16,USDBRL,1.764,1.805,1.759,1.792,2000,7
499,2000-07-23,USDBRL,1.792,1.796,1.75,1.787,2000,7
500,2000-07-30,USDBRL,1.749,1.805,1.744,1.793,2000,7
501,2000-08-06,USDBRL,1.755,1.799,1.755,1.798,2000,8
502,2000-08-13,USDBRL,1.784,1.817,1.784,1.817,2000,8
503,2000-08-20,USDBRL,1.779,1.822,1.689,1.82,2000,8
504,2000-08-27,USDBRL,1.811,1.834,1.802,1.823,2000,8
505,2000-09-03,USDBRL,1.826,1.826,1.782,1.82,2000,9
506,2000-09-10,USDBRL,1.819,1.846,1.809,1.846,2000,9
507,2000-09-17,USDBRL,1.851,1.86,1.715,1.856,2000,9
508,2000-09-24,USDBRL,1.806,1.851,1.806,1.843,2000,9
509,2000-10-01,USDBRL,1.805,1.854,1.805,1.854,2000,10
510,2000-10-08,USDBRL,1.815,1.876,1.815,1.87,2000,10
511,2000-10-15,USDBRL,1.829,1.884,1.824,1.884,2000,10
512,2000-10-22,USDBRL,1.846,1.94,1.846,1.916,2000,10
513,2000-10-29,USDBRL,1.875,1.942,1.863,1.941,2000,10
514,2000-11-05,USDBRL,1.906,1.97,1.906,1.951,2000,11
515,2000-11-12,USDBRL,1.916,1.97,1.903,1.97,2000,11
516,2000-11-19,USDBRL,1.95,1.958,1.91,1.958,2000,11
517,2000-11-26,USDBRL,1.959,1.984,1.926,1.973,2000,11
518,2000-12-03,USDBRL,1.982,1.982,1.956,1.967,2000,12
519,2000-12-10,USDBRL,1.926,1.9677,1.923,1.965,2000,12
520,2000-12-17,USDBRL,1.9167,1.959,1.9167,1.956,2000,12
521,2000-12-24,USDBRL,1.92,1.961,1.91,1.949,2000,12
522,2000-12-31,USDBRL,1.922,1.953,1.921,1.952,2000,12
523,2001-01-07,USDBRL,1.915,1.956,1.909,1.949,2001,1
524,2001-01-14,USDBRL,1.9465,1.959,1.911,1.956,2001,1
525,2001-01-21,USDBRL,1.918,1.9745,1.918,1.973,2001,1
526,2001-01-28,USDBRL,1.935,1.99,1.842,1.989,2001,1
527,2001-02-04,USDBRL,1.951,2.004,1.951,1.98,2001,2
528,2001-02-11,USDBRL,1.941,1.994,1.849,1.994,2001,2
529,2001-02-18,USDBRL,1.959,2.045,1.959,2.035,2001,2
530,2001-02-25,USDBRL,1.987,2.045,1.987,2.026,2001,2
531,2001-03-04,USDBRL,2.024,2.057,1.996,2.045,2001,3
532,2001-03-11,USDBRL,1.92,2.135,1.92,2.126,2001,3
533,2001-03-18,USDBRL,2.084,2.174,2.066,2.17,2001,3
534,2001-03-25,USDBRL,2.13,2.17,2.12,2.17,2001,3
535,2001-04-01,USDBRL,2.152,2.177,2.15,2.165,2001,4
536,2001-04-08,USDBRL,2.163,2.168,2.091,2.15,2001,4
537,2001-04-15,USDBRL,2.14,2.233,2.14,2.23,2001,4
538,2001-04-22,USDBRL,2.236,2.298,2.186,2.201,2001,4
539,2001-04-29,USDBRL,2.184,2.244,2.184,2.21,2001,4
540,2001-05-06,USDBRL,2.198,2.293,2.195,2.293,2001,5
541,2001-05-13,USDBRL,2.264,2.34,2.253,2.2975,2001,5
542,2001-05-20,USDBRL,2.259,2.365,2.259,2.313,2001,5
543,2001-05-27,USDBRL,2.322,2.388,2.321,2.377,2001,5
544,2001-06-03,USDBRL,2.307,2.394,2.306,2.359,2001,6
545,2001-06-10,USDBRL,2.323,2.423,2.24,2.29,2001,6
546,2001-06-17,USDBRL,2.41,2.47,2.311,2.358,2001,6
547,2001-06-24,USDBRL,2.248,2.331,2.248,2.31,2001,6
548,2001-07-01,USDBRL,2.277,2.513,2.277,2.429,2001,7
549,2001-07-08,USDBRL,2.401,2.588,2.401,2.58,2001,7
550,2001-07-15,USDBRL,2.547,2.602,2.435,2.435,2001,7
551,2001-07-22,USDBRL,2.408,2.511,2.408,2.46,2001,7
552,2001-07-29,USDBRL,2.383,2.506,2.373,2.491,2001,7
553,2001-08-05,USDBRL,2.423,2.489,2.418,2.46,2001,8
554,2001-08-12,USDBRL,2.482,2.528,2.465,2.528,2001,8
555,2001-08-19,USDBRL,2.535,2.554,2.464,2.547,2001,8
556,2001-08-26,USDBRL,2.501,2.563,2.492,2.563,2001,8
557,2001-09-02,USDBRL,2.558,2.596,2.512,2.581,2001,9
558,2001-09-09,USDBRL,2.551,2.739,2.551,2.701,2001,9
559,2001-09-16,USDBRL,2.706,2.802,2.66,2.787,2001,9
560,2001-09-23,USDBRL,2.785,2.785,2.656,2.656,2001,9
561,2001-09-30,USDBRL,2.69,2.776,2.622,2.776,2001,9
562,2001-10-07,USDBRL,2.7535,2.7875,2.732,2.78,2001,10
563,2001-10-14,USDBRL,2.72,2.781,2.714,2.732,2001,10
564,2001-10-21,USDBRL,2.651,2.764,2.651,2.7225,2001,10
565,2001-10-28,USDBRL,2.674,2.7275,2.619,2.672,2001,10
566,2001-11-04,USDBRL,2.673,2.673,2.49,2.537,2001,11
567,2001-11-11,USDBRL,2.486,2.5445,2.472,2.525,2001,11
568,2001-11-18,USDBRL,2.515,2.55,2.502,2.502,2001,11
569,2001-11-25,USDBRL,2.439,2.542,2.435,2.495,2001,11
570,2001-12-02,USDBRL,2.465,2.465,2.348,2.348,2001,12
571,2001-12-09,USDBRL,2.365,2.3975,2.298,2.375,2001,12
572,2001-12-16,USDBRL,2.31,2.359,2.256,2.346,2001,12
573,2001-12-23,USDBRL,2.288,2.3465,2.273,2.31,2001,12
574,2001-12-30,USDBRL,2.263,2.3196,2.248,2.317,2001,12
575,2002-01-06,USDBRL,2.345,2.431,2.326,2.408,2002,1
576,2002-01-13,USDBRL,2.405,2.409,2.361,2.365,2002,1
577,2002-01-20,USDBRL,2.369,2.413,2.35,2.408,2002,1
578,2002-01-27,USDBRL,2.424,2.44,2.409,2.409,2002,1
579,2002-02-03,USDBRL,2.42,2.467,2.42,2.455,2002,2
580,2002-02-10,USDBRL,2.4683,2.4683,2.419,2.426,2002,2
581,2002-02-17,USDBRL,2.437,2.437,2.415,2.422,2002,2
582,2002-02-24,USDBRL,2.409,2.409,2.338,2.3435,2002,2
583,2002-03-03,USDBRL,2.346,2.374,2.319,2.35,2002,3
584,2002-03-10,USDBRL,2.35,2.36,2.328,2.345,2002,3
585,2002-03-17,USDBRL,2.34,2.363,2.295,2.361,2002,3
586,2002-03-24,USDBRL,2.36,2.374,2.316,2.3242,2002,3
587,2002-03-31,USDBRL,2.325,2.332,2.277,2.277,2002,3
